Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
33;infrastructure;zeta_24G;C8:E7:D8:A0:BB:7F;;1;No;WPA2,AES-CCM;No;270.0;0;27;0;0;0;0;0;;;Wed Nov 21 06:08:14 2018;Wed Nov 21 06:37:03 2018;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
34;infrastructure;Jiul;B0:6E:BF:9C:97:E0;;12;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Wed Nov 21 06:37:03 2018;Wed Nov 21 06:37:07 2018;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
35;infrastructure;Lasting-Guest;C0:EA:E4:C2:BD:D4;;2;No;WPA2,WPA,AES-CCM;No;195.0;0;4;0;0;0;0;0;;;Wed Nov 21 06:08:51 2018;Wed Nov 21 06:37:04 2018;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
36;infrastructure;Solutii Timisoara;C0:EA:E4:C2:B6:97;;5;No;WPA2,WPA,AES-CCM;No;195.0;0;2;0;0;0;0;0;;;Wed Nov 21 06:09:10 2018;Wed Nov 21 06:37:06 2018;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
37;infrastructure;DIGI-24-2F182B;80:8C:97:2F:18:2B;;1;No;WPA2,AES-CCM;No;130.0;0;16;0;0;0;0;0;;;Wed Nov 21 06:36:34 2018;Wed Nov 21 06:36:51 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
38;infrastructure;titulescu3;EC:08:6B:46:75:CD;;13;No;WPA2,AES-CCM;No;130.0;0;5;0;0;0;0;0;;;Wed Nov 21 06:36:34 2018;Wed Nov 21 06:36:51 2018;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
39;infrastructure;Magazin2;04:8D:39:40:15:00;;6;No;WPA2,AES-CCM,TKIP;No;135.0;0;6;0;0;0;0;0;;;Wed Nov 21 06:08:25 2018;Wed Nov 21 06:36:50 2018;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
40;infrastructure;HUAWEI-fqS3;24:4C:07:0F:0C:2C;;7;No;WPA2,WPA,AES-CCM,TKIP;No;130.0;0;3;0;0;0;0;0;;;Wed Nov 21 06:36:38 2018;Wed Nov 21 06:36:39 2018;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
41;infrastructure;HUAWEI-6YpR;24:4C:07:0F:06:8C;;1;No;WPA2,WPA,AES-CCM,TKIP;No;130.0;0;6;0;0;0;0;0;;;Wed Nov 21 06:36:38 2018;Wed Nov 21 06:36:40 2018;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
42;infrastructure;;00:18:25:06:DA:86;;1;No;WPA2,AES-CCM;No;130.0;0;100;0;0;0;0;0;;;Wed Nov 21 06:09:56 2018;Wed Nov 21 06:36:05 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
43;infrastructure;HUAWEI-fC76;2C:CF:58:9E:04:2C;;2;No;WPA2,WPA,AES-CCM,TKIP;No;130.0;0;6;0;0;0;0;0;;;Wed Nov 21 06:36:01 2018;Wed Nov 21 06:36:06 2018;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
44;infrastructure;Continental Free Wi-Fi;28:6F:7F:85:0F:E0;;6;No;OPN,None;No;195.0;0;4;0;0;0;0;0;;;Wed Nov 21 06:10:28 2018;Wed Nov 21 06:35:51 2018;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
45;infrastructure;MCC;04:8D:38:D6:7F:83;;10;No;WPA2,AES-CCM,TKIP;No;130.0;0;9;0;0;0;0;0;;;Wed Nov 21 06:10:31 2018;Wed Nov 21 06:35:50 2018;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
46;infrastructure;Tenda 2.4;C8:3A:35:5E:D8:98;;1;No;WPA2,AES-CCM;No;195.0;0;9;0;0;0;0;0;;;Wed Nov 21 06:10:25 2018;Wed Nov 21 06:35:52 2018;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
47;infrastructure;;82:2A:A8:11:A4:54;;11;No;WPA2,AES-CCM;No;195.0;0;9;0;0;0;0;0;;;Wed Nov 21 06:35:34 2018;Wed Nov 21 06:35:39 2018;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
48;infrastructure;BusyMachines;80:2A:A8:11:A4:54;;11;No;WPA2,AES-CCM;No;195.0;0;7;0;0;0;0;0;;;Wed Nov 21 06:35:34 2018;Wed Nov 21 06:35:39 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
49;infrastructure;SalaProtocol;70:4F:57:DD:D4:14;;2;No;OPN,None;No;270.0;0;5;0;0;0;0;0;;;Wed Nov 21 06:35:32 2018;Wed Nov 21 06:35:41 2018;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
